Code,Latitude,Longitude,StateName,State_Fips
AL,32.806671,-86.79113,Alabama,1
AK,61.370716,-152.404419,Alaska,2
AZ,33.729759,-111.431221,Arizona,4
AR,34.969704,-92.373123,Arkansas,5
CA,36.116203,-119.681564,California,6
CO,39.059811,-105.311104,Colorado,8
CT,41.597782,-72.755371,Connecticut,9
DE,39.318523,-75.507141,Delaware,10
DC,38.897438,-77.026817,District of Columbia,11
FL,27.766279,-81.686783,Florida,12
GA,33.040619,-83.643074,Georgia,13
HI,21.094318,-157.498337,Hawaii,15
ID,44.240459,-114.478828,Idaho,16
IL,40.349457,-88.986137,Illinois,17
IN,39.849426,-86.258278,Indiana,18
IA,42.011539,-93.210526,Iowa,19
KS,38.5266,-96.726486,Kansas,20
KY,37.66814,-84.670067,Kentucky,21
LA,31.169546,-91.867805,Louisiana,22
ME,44.693947,-69.381927,Maine,23
MD,39.063946,-76.802101,Maryland,24
MA,42.230171,-71.530106,Massachusetts,25
MI,43.326618,-84.536095,Michigan,26
MN,45.694454,-93.900192,Minnesota,27
MS,32.741646,-89.678696,Mississippi,28
MO,38.456085,-92.288368,Missouri,29
MT,46.921925,-110.454353,Montana,30
NE,41.12537,-98.268082,Nebraska,31
NV,38.313515,-117.055374,Nevada,32
NH,43.452492,-71.563896,New Hampshire,33
NJ,40.298904,-74.521011,New Jersey,34
NM,34.840515,-106.248482,New Mexico,35
NY,42.165726,-74.948051,New York,36
NC,35.630066,-79.806419,North Carolina,37
ND,47.528912,-99.784012,North Dakota,38
OH,40.388783,-82.764915,Ohio,39
OK,35.565342,-96.928917,Oklahoma,40
OR,44.572021,-122.070938,Oregon,41
PA,40.590752,-77.209755,Pennsylvania,42
RI,41.680893,-71.51178,Rhode Island,44
SC,33.856892,-80.945007,South Carolina,45
SD,44.299782,-99.438828,South Dakota,46
TN,35.747845,-86.692345,Tennessee,47
TX,31.054487,-97.563461,Texas,48
UT,40.150032,-111.862434,Utah,49
VT,44.045876,-72.710686,Vermont,50
VA,37.769337,-78.169968,Virginia,51
WA,47.400902,-121.490494,Washington,53
WV,38.491226,-80.954453,West Virginia,54
WI,44.268543,-89.616508,Wisconsin,55
WY,42.755966,-107.30249,Wyoming,56
