EVENT_ID,EPISODE_ID,BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,BEGIN_DATE_TIME,END_DATE_TIME,DAMAGE_PROPERTY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_LOCATION,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
727807,121603,201801,21,1829,201801,21,1831,121603,727807,TEXAS,48,2018,January,21/01/2018 18:29,21/01/2018 18:31,90.00K,EF0,1.09,60,POWELL,POWELL,32.1196,-96.3186,32.1307,-96.3053,Severe thunderstorms occurred along a dryline and cold front.,The Navarro County Emergency Manager reported a narrow damage path near Powell. The damage began near State Highway 31 and ended near Navarro County Road 2120NE. Damage included numerous large trees and a large fuel tank was thrown for over 50 yards.,CSV
727808,121603,201801,21,2019,201801,21,2020,121603,727808,TEXAS,48,2018,January,21/01/2018 20:19,21/01/2018 20:20,5.00K,EF0,0.25,50,PICKTON,PICKTON,33.0015,-95.3288,33.0092,-95.316,Severe thunderstorms occurred along a dryline and cold front.,Trained spotters reported a brief tornado near the intersection of Hopkins County Roads 2393 and 2399. Debris was encountered near the intersection.,CSV
728503,121701,201801,21,2126,201801,21,2135,121701,728503,TEXAS,48,2018,January,21/01/2018 21:26,21/01/2018 21:35,2.50M,EF2,7.06,560,COLLEGE HILL,BETHLEHEM,33.4474,-94.6484,33.5266,-94.571,"A deep upper level trough moved out of the Inter Mountain West and into the Southern Plains on January 21st. This trough allowed for the return of much warmer temperatures and a return of Gulf of Mexico moisture, replacing a cold continental arctic air mass the Southern Plains had been under the influence of the week before. By afternoon, dewpoints were in the lower 60s as far north as the Middle Red River Valley of Northeast Texas, Southeast Oklahoma and Southwest Arkansas. This yielded CAPE values around 500 J/KG but very strong Deep Layer Shear was present along with strong low level directional shear. Storms ignited during the late afternoon and early evening hours of January 21st across Northern Texas and Southern Oklahoma along and just ahead of a dryline. Later in the evening, low level directional shear continued to increase and therefore, storms took on the form of supercells. Some of these storms produced large hail and damaging wind gusts. One long track supercell resulted in a tornado which did damage across portions of Bowie County Texas before crossing the Red River and continuing into Little River County Arkansas. The Pacific cold front in association with the upper level trough eventually caught up with the dryline moving into Northeast Texas and Southeast Oklahoma during the overnight hours of January 21st and into the predawn hours of January 22nd, but this broken line of thunderstorms was not responsible for any additional wind damage, hail, or tornadoes across Northeast Texas.","An EF-2 tornado with maximum estimated winds around 125 mph touched down along Highway 259 just southwest of Dekalb and tracked northeast across the intersection of County Road 4231 and Farm to Market Road 44. Here, it caused significant damage to a well constructed two-story home shifting it off its foundation, and significantly damaging eight chicken houses, two of which were destroyed. The tornadic storm continued northeast where it crossed County Road 4230 and significantly damaged the Dekalb Water Treatment Plant, before crossing the intersection of Farm to Market Road 990 and Farm to Market Road 1840 where a one-story home had its roof removed and several hardwood and softwood trees were snapped or uprooted. As the tornado tracked across County Road 4228, there were signs of it widening where the snapped hardwood trees and downed power lines were more noticeable. Once the tornado tracked across Highway 82, hardwood trees snapped at its base and significant damage to roofs of a church and nearby one and two-story homes were prevalent. The tornadic storm continued to move northeast across County Road 3201 where numerous hardwood trees were downed and a camper was destroyed. The tornado continued northeast where it crossed County Road 3203, uplifting a metal roof from a home and destroyed seven chicken farm buildings. Once it crossed northeast across County Road 3202, it split and twisted hardwood trees and destroyed an outbuilding before finally dissipating.||In all, 16 single family homes were damaged, 9 suffering minor damage, and 7 with major damage, with 32 mobile homes damaged, 25 suffering minor damage, 4 with major damage, and 3 mobile homes destroyed. The Dekalb Water Treatment Plant suffered about $500,000 in damage, with another $500,000 damage done to the  chicken houses that were destroyed, as well to an auto repair shop and a gun shop that were significantly damaged. Approximately 200,000 chickens were killed, and 1 cow was killed as well.",CSV
728504,121701,201801,21,2143,201801,21,2145,121701,728504,TEXAS,48,2018,January,21/01/2018 21:43,21/01/2018 21:45,50.00K,EF0,0.54,50,LIBERTY HILL,LIBERTY HILL,33.5655,-94.5114,33.57,-94.5037,"A deep upper level trough moved out of the Inter Mountain West and into the Southern Plains on January 21st. This trough allowed for the return of much warmer temperatures and a return of Gulf of Mexico moisture, replacing a cold continental arctic air mass the Southern Plains had been under the influence of the week before. By afternoon, dewpoints were in the lower 60s as far north as the Middle Red River Valley of Northeast Texas, Southeast Oklahoma and Southwest Arkansas. This yielded CAPE values around 500 J/KG but very strong Deep Layer Shear was present along with strong low level directional shear. Storms ignited during the late afternoon and early evening hours of January 21st across Northern Texas and Southern Oklahoma along and just ahead of a dryline. Later in the evening, low level directional shear continued to increase and therefore, storms took on the form of supercells. Some of these storms produced large hail and damaging wind gusts. One long track supercell resulted in a tornado which did damage across portions of Bowie County Texas before crossing the Red River and continuing into Little River County Arkansas. The Pacific cold front in association with the upper level trough eventually caught up with the dryline moving into Northeast Texas and Southeast Oklahoma during the overnight hours of January 21st and into the predawn hours of January 22nd, but this broken line of thunderstorms was not responsible for any additional wind damage, hail, or tornadoes across Northeast Texas.",An EF-0 tornado with maximum estimated winds around 80 mph touched down along County Road 3109 where it damaged the roof of a one story home. This tornadic storm traveled northeast where it damaged the roof of Liberty Hill Church located along County Road 3109. The tornado also uprooted several hardwood trees before dissipating along Highway 992.,CSV
728507,121706,201801,21,2148,201801,21,2153,121706,728507,ARKANSAS,5,2018,January,21/01/2018 21:48,21/01/2018 21:53,40.00K,EF1,6.32,295,LANESPORT,WALLACE,33.6222,-94.4294,33.6864,-94.3512,"A deep upper level trough moved out of the Inter Mountain West and into the Southern Plains on January 21st. This trough allowed for the return of much warmer temperatures and a return of Gulf of Mexico moisture, replacing a cold continental arctic air mass the Southern Plains had been under the influence of the week before. By afternoon, dewpoints were in the lower 60s as far north as the Middle Red River Valley of Northeast Texas, Southeast Oklahoma and Southwest Arkansas. This yielded CAPE values around 500 J/KG but very strong Deep Layer Shear was present along with strong low level directional shear. Storms ignited during the late afternoon and early evening hours of January 21st across Northern Texas and Southern Oklahoma along and just ahead of a dryline. Later in the evening, low level directional shear continued to increase and therefore, storms took on the form of supercells. Some of these storms produced large hail and damaging wind gusts. One long track supercell resulted in a tornado which did damage across portions of Bowie County Texas before crossing the Red River and continuing into Little River County Arkansas. The Pacific cold front in association with the upper level trough eventually caught up with the dryline moving into Northeast Texas and Southeast Oklahoma during the overnight hours of January 21st and into the predawn hours of January 22nd, but this broken line of thunderstorms was not responsible for any additional wind damage, hail, or tornadoes across Southwest Arkansas.","An EF-1 tornado with maximum estimated winds between 100-110 mph touched down on the Legacy Ranch along County Road 1 in Southern Little River County, bending the fence, stripping the siding and roofing material on a large barn, and flipping two semi trailers on their side. The tornado then moved northeast across County Road 4 and Highway 41, snapping power poles and trees. As the tornado continued moving northeast, several trees were snapped and uprooted as it entered the Wallace community. The First Baptist Church in Wallace lost several shingles, and several homes sustained minor roof damage along Highway 32, County Road 10, and County Road 76, primarily losing shingles. Two additional outbuildings and barns sustained minor damage. The tornado finally lifted just north of County Road 76.",CSV
728600,121716,201801,21,2004,201801,21,2005,121716,728600,MISSOURI,29,2018,January,21/01/2018 20:04,21/01/2018 20:05,100.00K,EF1,1.25,75,OPAL,MT VERNON,37.0474,-93.8293,37.0659,-93.8213,Isolated severe thunderstorms produced a few reports of wind damage and a brief EF-1 tornado.,A NWS storm survey found that a brief EF-1 tornado touched down in rural Lawrence County south of Mount Vernon. A couple of farm buildings were blown down on Farm Road 2155. One barn was destroyed. At least one home had minor roof damage. Several trees were uprooted and blown down along the path. A large tree smashed two cars. Estimated maximum wind speed was up to 95 mph.,CSV
729529,121885,201801,21,1856,201801,21,1903,121885,729529,ARKANSAS,5,2018,January,21/01/2018 18:56,21/01/2018 19:03,50.00K,EF1,5.2,350,HUNTINGTON,CROSSROADS,35.0823,-94.2695,35.1407,-94.2124,Strong to severe thunderstorms developed during the afternoon hours of the 21st over eastern Oklahoma as a cold front moved into the area from the west. These storms moved into northwestern Arkansas during the evening. Two tornadoes and damaging wind gusts occurred across Sebastian and Franklin Counties with the stronger storms.,"This tornado developed on the northwest side of Huntington near the water treatment plant where it uprooted trees and destroyed a metal-framed structure. The tornado moved northeast damaging the roof of a mobile home, damaging a couple chicken houses, blowing down power lines, and uprooting trees. Based on this damage, maximum estimated wind in the tornado was 85 to 95 mph.",CSV
729530,121885,201801,21,1940,201801,21,1945,121885,729530,ARKANSAS,5,2018,January,21/01/2018 19:40,21/01/2018 19:45,10.00K,EF1,4.3,400,SUB ROSA,POPING,35.3909,-93.9501,35.4397,-93.9022,Strong to severe thunderstorms developed during the afternoon hours of the 21st over eastern Oklahoma as a cold front moved into the area from the west. These storms moved into northwestern Arkansas during the evening. Two tornadoes and damaging wind gusts occurred across Sebastian and Franklin Counties with the stronger storms.,"This tornado snapped the trunks of a few softwood trees, snapped large tree limbs, blew down power lines, and damaged a home. Based on this damage, maximum estimated wind in the tornado was 85 to 90 mph.",CSV
730211,121962,201802,7,415,201802,7,426,121962,730211,MISSISSIPPI,28,2018,February,07/02/2018 04:15,07/02/2018 04:26,200.00K,EF1,7.92,300,MEEHAN,NELLIEBURG,32.3963,-88.9137,32.4138,-88.7795,"Showers and thunderstorms developed as a cold front pushed through the region. Some of these storms produced hail, damaging wind gusts, flash flooding, and one tornado.","This tornado touched down along Bogue Statinea Road and tracked east northeast for roughly 8 miles. The initial damage was a few uprooted and snapped pine trees from touchdown and as it crossed Bogue Flower Road. The intensity increased as the tornado crossed some private property just west of the intersection of Bogue Statinea Road and Suqualena Meehan Road. Here part of a roof of a metal barn was removed with a large metal truss thrown onto a framed house. Roof damage was sustained to this home along with portions of the shed heavily damaged. Heavier tree damage was also noted here as the tornado crossed a pasture. The most intense damage occurred in and around the intersection of Bogue Statinea Road and Suqualena Meehan Road. Here numerous trees were snapped and uprooted along with several power lines and poles downed. A travel trailer was rolled and small shed was destroyed. A few other structures sustained minor damage here as well. The tornado continued to the east northeast and weakened a fair amount as it crossed Suqualena Graham and Woods Roads. In the Tanglewood neighborhood, minor damage occurred from a few downed trees and snapped limbs to homes and a trampoline was thrown. The tornado dissipated just at Highway 19. This tornado was rated EF1 with maximum winds near 110 mph. Max width was 300 yards.",CSV
730634,122042,201801,25,1640,201801,25,1640,122042,730634,CALIFORNIA,6,2018,January,25/01/2018 16:40,25/01/2018 16:40,0.10K,EF0,0.04,30,EUREKA,EUREKA,40.8081,-124.1631,40.8081,-124.1631,"An upper-level storm system moved east across northwest California, resulting in high elevation snow, coastal hail, and a tornado.","A waterspout over Humboldt Bay moved inland across Woodley Island. A boat anemometer measured a wind speed of 54 mph associated with the brief tornado. In addition, a fiber glass case snapped on a dock. The path length was estimated to be 200 feet, and the width was approximately 30 yards.",CSV
